Username,Lesson Name,Teacher Name,Text,Point
persona,SOC101,Ali Tuna Kuyucu,persona SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
mozsoy,SOC101,Ali Tuna Kuyucu,mozsoy SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
Ungarcovic,SOC101,Ali Tuna Kuyucu,Ungarcovic SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
miss.yilmaz,SOC101,Ali Tuna Kuyucu,miss.yilmaz SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
studycicocuk,SOC101,Ali Tuna Kuyucu,studycicocuk SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
xxxx,SOC101,Ali Tuna Kuyucu,xxxx SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
perse,SOC101,Ali Tuna Kuyucu,perse SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
vantilator,SOC101,Ali Tuna Kuyucu,vantilator SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
Muhabir,SOC221,Ali Tuna Kuyucu,"Tuna Hoca her zamanki enerjik ve dolu anlatımını bu derste de sürdürüyor. Sosyoloji kodlu olsa da aslında iktisadi tarih dersidir diyebilirim. (Zaten Tuna Hoca'nın kendisi de zamanında bu dersi bana ""Tamam ya 221 tarih dersi beleş işte."" diye tanımlamıştır.) Ancak her halükarda epeyi ilgi çekici ve öğretici bir derstir, günümüzdeki dünyanın, iktisadi ve toplumsal düzenin hangi yollardan geçip nasıl ortaya çıktığını ve bu dünyayı hangi güçlerin, kişilerin, kurumların vb. şekillendirdiğini bir dönemlik derste ancak bu kadar iyi anlatabilirdiniz herhalde diye düşünüyorum. Sanırım bu derse bölüm dışından öğrenci alınmıyor ama oluruna getirip de alabilirseniz pişman olmazsınız.  Bir de aldığım duyumlar neticesinde dersi Biray Hoca'dan değil de Tuna Hoca'dan alma şansınız varsa her türlü Tuna Hoca'dan almanızı öneririm.",1
Muhabir,SOC101,Ali Tuna Kuyucu,"Tuna Hoca enerjik hoş adamdır, lakin bazı arkadaşlara fazla enerjik geldiği için gözlerini korkutabiliyor. Kesinlikle ulaşılabilir ve öğrenciyi seven birisidir kendisi, merak etmeyin. Ancak SOC101 okulun en kalabalık kitle derslerinden biri olduğu için hocayla istediğiniz kadar etkileşime giremeyebilisiniz. Sınavlar da mecburen çoktan seçmeli 40-50 soru formatındadır. Sorular genel olarak kolay olsa da bazen çeldirici şıklardan dolayı arada kalabilirsiniz. Ancak her halükarda Tuna Hoca'dan SOC101 almak hem ufkunuzu genişletir hem de biraz uğraşarak tatmin edici bir not alabileceğiniz bir seçmeli ders sağlayacaktır.",1
hüüü,SOC101,Ali Tuna Kuyucu,Okulda aldığım en iyi derslerden,1
witch,SOC101,Ali Tuna Kuyucu,witch SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
canc,SOC101,Ali Tuna Kuyucu,canc SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
Demet,SOC101,Ali Tuna Kuyucu,Demet SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
hometownskeptic,SOC101,Ali Tuna Kuyucu,hometownskeptic SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
pisipisi,SOC101,Ali Tuna Kuyucu,pisipisi SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
Oya,SOC101,Ali Tuna Kuyucu,Oya SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
Sleepingdog,SOC101,Ali Tuna Kuyucu,Sleepingdog SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
şarjkablosu,SOC101,Ali Tuna Kuyucu,şarjkablosu SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
geytan tukas,SOC101,Ali Tuna Kuyucu,"hayatımda aldığım en iyi eğitimdi, bazı sevilmeyen noktaları olabilir ama kimsenin tuna hocamn lecture kabiliyetini ve anlattıklarına olan sevgisini ve ilgisini sorgulayabileceğini düşünnmüyorum. sağ olun var olun hocam",1
cicibebe,SOC101,Ali Tuna Kuyucu,cicibebe SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
cekirdkszkarpuz,SOC101,Ali Tuna Kuyucu,cekirdkszkarpuz SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
boun123,SOC101,Ali Tuna Kuyucu,"Okuldaki alıp alabileceğim en iyi derslerden olduğunu düşünüyorum. Hoca, öğrencilerle iletişiminden ders anlatışına kadar tam olarak bir akademisyenin olması gerektiği gibi biri. Zaten sınıfın 800 kişi olmasından da bunu anlayabilirsiniz. İlk olarak, online dönemde derslerin hepsini kaydetti ve yoklama almadı. Dersi slaytlar üzerinden işliyor. Slaytları oldukça özenli ve açıklayıcı bir şekilde hazırlar ve konu bittikten sonra Moodle'a yükler. Her hafta yapmanız gereken okumalar vardır ve aslında derslerde bu okumaları kendisi özetler. Hoca slaytları okuyup geçmek yerine öğrencinin daha iyi anlayabilmesi için konuyu açıklayıp örneklediği için en sıkıcı olduğunu düşündüğünüz bir konu bile ilgi çekici hale gelir. Mesela, ekonomi ile alakalı haftada çok sıkılacağımı düşünerek kayıtları dinlemeye başlamıştım ama konunun sonunda ekonomiye ilgim artmaya başladı ve içimde ekonomi bölümünden ders alma isteği uyandı. İngilizcesi gayet açık ve anlaşılırdır bu yüzden kolaylıkla dersi takip edebilirsiniz hatta arada, anlamakta zorlanabileceğinizi düşündüğü yerlerin üstünden bir de kısaca Türkçe olarak geçer. Ben dersleri dinlerken o kadar keyif alıyordum ki asla hiçbir dersi zorunluluktan dolayı dinlemedim, hepsi kendi açıp dinlediğim bir Youtube videosu gibiydi. Hatta son haftanın konusunu yetiştiremediğimiz için işleyemedik ve buna sevinmek yerine üzüldüm çünkü benim için kredim dolsun diye aldığım değil aşırı derecede ufuk açıcı ve insana farklı bir perspektif katan bir dersti. Sınav ve notlandırmaya gelirsek, hoca tam olarak aldığınız notu veriyor yani hocadan ekstra not istemeyin, hele hele bunu bursum yanıyor, Erasmus hakkım gidecek gibi duygu sömürüsü yaparak istemeyin, haklı olarak sinirlenebiliyor:) Sınavları öyle çok zor değil, şıklı oluyor ve ders kayıtlarını dinleyip iyice özümserseniz iyi bir notla geçersiniz. Okumaları yaparsanız tabi ki sizin için daha iyi olur ama eğer yapmazsanız da- birçok kişinin aksine- sınavda çok zorlanacağınızı zannetmiyorum çünkü dediğim gibi hoca zaten derste bunları özetliyor. O yüzden ders kayıtlarını iyi bir şekilde dinlemenin yeterli olduğunu düşünüyorum. Sonuç olarak, bence okuldaki alınabilecek en iyi ders ve hocalardan biri. Eğer bir zorunluluğunuz yoksa da alın, dönem sonunda size çok şey kattığını göreceksiniz. Ben dersi o kadar çok sevdim ki seçmeli olarak sosyoloji bölümünden başka dersler de almayı düşünüyorum.",1
halidertugrlshn,SOC101,Ali Tuna Kuyucu,halidertugrlshn SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
esra,SOC101,Ali Tuna Kuyucu,"muhteşem bir insan, gerçekten can kulağıyla dinlerseniz vizyonunuz kademe atlayabilir",1
psyche,SOC101,Ali Tuna Kuyucu,psyche SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
isamusa,SOC101,Ali Tuna Kuyucu,yaptığı işe tutkusuyla dersi akıp geçiren sayesinde çook şey öğrendiğim birtanecik hocam,1
kübra,SOC101,Ali Tuna Kuyucu,kübra SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
Kropotkin,SOC221,Ali Tuna Kuyucu,"Bence ekonomi ile ilgilenen bir bireyseniz hem ekonomi tarihini hem de bir devletin uyguladığı ekonomik politikanın bulunduğu kıtadaki etkisine kadar öğreniyorsunuz. İlginiz yoksa almayın derim, ilginiz varsa bu içeriği alabileceğiniz en iyi durak Tuna hocadır.",1
Elizabeth Grant,SOC101,Ali Tuna Kuyucu,Elizabeth Grant SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
morpheus,SOC101,Ali Tuna Kuyucu,morpheus SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
nago,SOC101,Ali Tuna Kuyucu,nago SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
yellow,SOC101,Ali Tuna Kuyucu,yellow SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
anonim ifrit,SOC101,Ali Tuna Kuyucu,anonim ifrit SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
pupillam,SOC101,Ali Tuna Kuyucu,pupillam SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
daikalos,SOC101,Ali Tuna Kuyucu,daikalos SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
rachel,SOC101,Ali Tuna Kuyucu,"Harika bir adam, mütevaziliği beni bitiriyor. Dikkatinizi derste tutuyor, severek anlatıyor. Derslerinden çoğu zaman kendi de zevk aldığı için siz de alıyorsunuz. Bazen dağılabiliyor, uzatabiliyor ama bunu da tutkusundan yaptığını fark ediyorsunuz. Bileğinde bi dövme var tüm sene çözmeye çalıştım ne olduğunu bilen varsa bana da söylesin lütfen :p",1
DanDan,SOC101,Ali Tuna Kuyucu,DanDan SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
Lily,SOC101,Ali Tuna Kuyucu,Lily SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
touch.blue,SOC101,Ali Tuna Kuyucu,Kesinlikle bu hocadan alınması gereken bir ders :),1
good4mista,SOC101,Ali Tuna Kuyucu,"Ders içeriği ve işlenişi gayet güzeldi. 1.75x hızda kayıtları çok güzel akıyor, canlı derste ağır geldi bana. Okumaları kesin yapın diyodu ama fırsatım olmadı, yine de BA geldi çünkü derste okumaları detaylı işlemiycem dese bile dayanamayıp anlatıyor :) Ama slaytlara tek başına güvenmeyin dersi de dinleyip not alın pişman olmazsınız. Temel ve güzel bir ders bence alınmalı.",1
arjnavc,SOC101,Ali Tuna Kuyucu,arjnavc SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
anonnnnnnnnnnnn,SOC101,Ali Tuna Kuyucu,Bu okulda alabileceğiniz en iyi ders-hoca kombinasyonudur.,1
CharliesAngel,SOC101,Ali Tuna Kuyucu,CharliesAngel SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
sansarsalvo,SOC101,Ali Tuna Kuyucu,sansarsalvo SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
bcelikal,SOC101,Ali Tuna Kuyucu,bcelikal SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
eko,SOC101,Ali Tuna Kuyucu,eko SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
Polunarefu,SOC101,Ali Tuna Kuyucu,Polunarefu SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
tarantuladegil,SOC221,Ali Tuna Kuyucu,"eğer ekonomiye/finansa pek ilginiz yoksa veya makroekonomik konseptleri anlamakta çok zorluk çekiyorsanız sizin için sıkıcı ve zorlayıcı bir ders olabilir. ben çok severek derslere gittim ve çalıştım. düzenli çalışırsanız ba altı çok zor. tuna hocanın arada verdiği etimolojik veya epistemolojik ""fun fact""ler dersi daha da keyifli kılıyordu, çok şey öğrenerek çıkabileceğiniz bir ders.",1
xeb,SOC101,Ali Tuna Kuyucu,xeb SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
klasikliberal,SOC101,Ali Tuna Kuyucu,"yaptığı işe aşık, inanılmaz bilgili ve çok güzel bir insandır tuna hoca. dikkat sıkıntılarım olmasına rağmen beni derslerde tutmayı başarabildi. ders zor değil, farklı bakış açıları kazandıran bir ders. hoca her kaydı moodle'a yüklüyor. elimde olsa dersi 2-3 kere daha alırım",1
DSADSA,SOC101,Ali Tuna Kuyucu,DSADSA SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
zerriniffet,SOC101,Ali Tuna Kuyucu,zerriniffet SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
kucukhamsi,SOC101,Ali Tuna Kuyucu,kucukhamsi SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
twinflamebruise,SOC101,Ali Tuna Kuyucu,twinflamebruise SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
saka,SOC101,Ali Tuna Kuyucu,"Ders anlatımını son derece eğlenceli buluyorum. Ders işleyişi pek sistematik değil; ara ara dersleri uzatabiliyor, konudan konuya atlayabiliyor. Gerektiği kadar çalışıldığı sürece AA ile geçilecek bir ders ve yine olsa yine Tuna hocadan alırdım.",1
bahtsız kuş,SOC101,Ali Tuna Kuyucu,bahtsız kuş SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
marasdondurmasi,SOC101,Ali Tuna Kuyucu,marasdondurmasi SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
efe.guven,SOC101,Ali Tuna Kuyucu,efe.guven SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
ruby,SOC101,Ali Tuna Kuyucu,ruby SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
sufle,SOC101,Ali Tuna Kuyucu,sufle SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
yade,SOC101,Ali Tuna Kuyucu,yade SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
selinayaz,SOC101,Ali Tuna Kuyucu,"baya keyifli bir ders ve inanilmaz tatli bir insan, sadece 89'la aa almis olmak cok tatsiz",1
karpuzçekirdeği,SOC101,Ali Tuna Kuyucu,"Bu dönem derslerim arasından en çok verim aldığım ve bir şeyler öğrendiğimi hissettiğim soc101 oldu. Tuna hoca dersi öyle güzel kurgulamış ve öyle iyi anlatıyor ki mantığınıza çok kolay yatıyor. Dönem başındaki birkaç okuma sonrakilere göre daha ağır. Başlarda karşınıza onlar gelince tüm okumalar böyle mi olacak diye gözünüz korkmasın -benim korkmuştu :)- Sınavlarda slaytlardaki her şeyden soru geliyor slaytlara çok iyi çalışılmalı. Tek sitemim midtermden sonra dahi kopya sorununa bir çözüm bulunmaması. Onun dışında gayet keyifli bir dersti, öneririm.",1
capotelover,SOC101,Ali Tuna Kuyucu,capotelover SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
pestosos,SOC101,Ali Tuna Kuyucu,Harika bir dersti yaptığı boşlar bile çok eğlenceliydi. Sınava bir hafta kala izlemeye başlamayın yeter. Tuna hocam bunu okuyorsanız please give me a chance,1
sanzapanco,SOC101,Ali Tuna Kuyucu,"inanılmaz konsantre bi dersti, çok şey öğrendim ve öğrendiğim şeyleri birçok yerde kullandım-gözlemledim. karşıma çıktı yani öğrendiklerim, sosyoloji ve 101 olmasından ötürü normal bir durum. bir de ben geçen sene almama rağmen bugün rüyamda tuna hocayı gördüm gene bi seyler anlatıyordu. üstüne başka bağlamlarda başka sosyoloji dersleri aldım fakat ilk olması hasebiyle etkisi bi tık daha fazla oldu tuna hocanın, yüksek ihtimalle ondan. bu da böyle bi anı işte.",1
iplikcinedim,SOC101,Ali Tuna Kuyucu,iplikcinedim SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
jessicajones,SOC101,Ali Tuna Kuyucu,so and so forth,1
sisifos,SOC101,Ali Tuna Kuyucu,"Tuna hoca görebileceğiniz en iyi hocalardandır, fırsatınız varsa kesinlikle alın. Hem ders de sıkıcı değildir, okumalar dahil her şey yapılasıdır. Sınavları da çok zor değildir. Zorunlu dersiniz değilse bile sosyal seçmeli için en ideal derslerdendir.",1
Fryton,SOC101,Ali Tuna Kuyucu,Fryton SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
lilibet,SOC101,Ali Tuna Kuyucu,lilibet SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
johnnysack,SOC101,Ali Tuna Kuyucu,johnnysack SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
georgeorwell,SOC101,Ali Tuna Kuyucu,Her şeyiyle bir ikon.,1
nope,SOC101,Ali Tuna Kuyucu,Bazen organayzeyşın bazen organizeyşın diyor. Vejataryen veya vegan. O günü çok kötü geçse bile o kadar hararetle ve istekle dersi anlatıyor ki işini seven insan işte diyorsunuz. Bir de prosesiiz (processes) diyor ben de 10 yıl Amerikan snob akademisine maruz kalsam böyle yanlış ama havalı telaffuzlar edinebilirdim. Alanına hakim 2x ile takip etmesi zor biri. Keşke 800 kişi almasaydı da ru-be-ru tanışma imkanım olsaydı.,1
le_li_lü,SOC221,Ali Tuna Kuyucu,le_li_lü SOC221 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
redvelvet,SOC101,Ali Tuna Kuyucu,redvelvet SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
carmen,SOC101,Ali Tuna Kuyucu,carmen SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
oktopus,SOC101,Ali Tuna Kuyucu,oktopus SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
Boleo27,SOC101,Ali Tuna Kuyucu,Boleo27 SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
iiii,SOC221,Ali Tuna Kuyucu,iiii SOC221 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
venus,SOC101,Ali Tuna Kuyucu,venus SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
libertalium,SOC101,Ali Tuna Kuyucu,libertalium SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
TK,SOC101,Ali Tuna Kuyucu,TK SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
haneke,SOC101,Ali Tuna Kuyucu,haneke SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
hergunsi,SOC101,Ali Tuna Kuyucu,hergunsi SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
Mazharmert,SOC101,Ali Tuna Kuyucu,Mazharmert SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
Nisann,SOC101,Ali Tuna Kuyucu,Nisann SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
Serap,SOC101,Ali Tuna Kuyucu,Serap SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
elizatak,SOC101,Ali Tuna Kuyucu,elizatak SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
gokberk,SOC101,Ali Tuna Kuyucu,gokberk SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
ege.mistacoglu,SOC101,Ali Tuna Kuyucu,ege.mistacoglu SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
zeynolingo,SOC101,Ali Tuna Kuyucu,zeynolingo SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
Eylulleblebici,SOC101,Ali Tuna Kuyucu,Eylulleblebici SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
hebelehubele,SOC101,Ali Tuna Kuyucu,hebelehubele SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
Boşadam,SOC101,Ali Tuna Kuyucu,Boşadam SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
diclerbas,SOC101,Ali Tuna Kuyucu,diclerbas SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
minabassoy,SOC101,Ali Tuna Kuyucu,minabassoy SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
RanaK,SOC101,Ali Tuna Kuyucu,RanaK SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
WerquaL,SOC101,Ali Tuna Kuyucu,WerquaL SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
michaelscott,SOC101,Ali Tuna Kuyucu,michaelscott SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
portofmorrow,SOC101,Ali Tuna Kuyucu,portofmorrow SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
birisi,SOC101,Ali Tuna Kuyucu,birisi SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
ryoseoki,SOC101,Ali Tuna Kuyucu,ryoseoki SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
User1234,SOC101,Ali Tuna Kuyucu,User1234 SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
falafel,SOC101,Ali Tuna Kuyucu,falafel SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
poyraz,SOC101,Ali Tuna Kuyucu,poyraz SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
kmaus,SOC101,Ali Tuna Kuyucu,kmaus SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
salvepadre,SOC101,Ali Tuna Kuyucu,salvepadre SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
Mycroft,SOC101,Ali Tuna Kuyucu,Mycroft SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
Cabell,SOC101,Ali Tuna Kuyucu,Cabell SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
itsmenil,SOC101,Ali Tuna Kuyucu,itsmenil SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
dorian,SOC101,Ali Tuna Kuyucu,dorian SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
keirariek,SOC101,Ali Tuna Kuyucu,keirariek SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
oguzalpsamli,SOC101,Ali Tuna Kuyucu,oguzalpsamli SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
voila,SOC101,Ali Tuna Kuyucu,voila SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
le_li_lü,SOC101,Ali Tuna Kuyucu,le_li_lü SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
tttttttt,SOC101,Ali Tuna Kuyucu,tttttttt SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
xxxx.,SOC101,Ali Tuna Kuyucu,xxxx. SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
svdnr,SOC101,Ali Tuna Kuyucu,svdnr SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
ozgesen,SOC101,Ali Tuna Kuyucu,ozgesen SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
tarcin,SOC101,Ali Tuna Kuyucu,tarcin SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
nilsuyildirim17,SOC101,Ali Tuna Kuyucu,nilsuyildirim17 SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
sueda,SOC101,Ali Tuna Kuyucu,sueda SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
nakzola,SOC101,Ali Tuna Kuyucu,nakzola SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
berko,SOC101,Ali Tuna Kuyucu,berko SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
lostfrequencies,SOC101,Ali Tuna Kuyucu,lostfrequencies SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
--,SOC101,Ali Tuna Kuyucu,-- SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
aysegul,SOC101,Ali Tuna Kuyucu,aysegul SOC101 dersini Ali Tuna Kuyucu hocasından kesinlikle öneriyor.,1
